case_name,country,province,location,infrastructure_type,supply_chain_role,link_to_eu,main_impacts,conflict_category,affected_groups,main_actors,status_standardized,evidence_quality,relevance_to_core_argument,article_use_recommendation,us_coast_bucket,lng_specificity,raw_link,notes
"Great Nicobar development plan, Nicobar islands, India",India,Union Territory of Andaman and Nicobar Islands,Nicobar Islands,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Floods (river, coastal, mudflow); Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Large-scale disturbance of hydro and geological systems; Reduced ecological / hydrological connectivity; Oil spills; Mental problems including stress, depression and suicide; Displacement | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Land dispossession | Loss of landscape/sense of place | Violations of human rights | Other socio-economic impacts",Water / pollution,Indigenous communities; Workers; Local residents,"AECOM India Private Ltd. ; Water And Power Consultancy Services Limited; Andaman and Nicobar Islands Integrated Development Corporation Limited (ANIIDCO) NITI Aayog Ministry of Environment, Forest and Climate Change (MoEFCC) National Board for Wildlife (NBWL) Ministry of Ports, Shipping and Waterways Environmental Appraisal Committee |",Planned,strong,contextual,Broader context only,,Broader gas / EJ case,https://ejatlas.org/conflict/great-nicobar-development-plan,No additional coding note.
"Oil and Gas Exploration in the Kavango region threatens San People and Endangered Wildlife, Botswana-Namibia",Namibia,Not specified clearly in live EJAtlas metadata.,"Kavango provinces  in Namibia, and the North-West region in Botswana",Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Fires; Food insecurity (crop damage); Global warming; Soil contamination; Waste overflow; Oil spills; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Large-scale disturbance of hydro and geological systems; Reduced ecological / hydrological connectivity; Biodiversity loss (wildlife, agro-diversity); Mine tailing spills; Noise pollution; Exposure to unknown or uncertain complex risks (radiation, etc…); Increase in Corruption/Co-optation of different actors | Displacement | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Specific impacts on women | Violations of human rights | Land dispossession | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Local residents; Farmers,"ReconAfrica; National Petroleum Corporation of Namibia (NAMCO); UNESCO, USAID, Government of Namibia, Government of Botswana |",Planned,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/kavango-oil-botswana-namibia,No additional coding note.
"Cancellation of Korean 2nd coal plant in Sual, Pangasinan, Luzon, Philippines",Philippines,"Province of Pangasinan, Philippines", Municipality of Sual,Other LNG-related infrastructure,Broader gas / LNG context,Broader LNG / environmental justice context,"Food insecurity (crop damage); Loss of landscape/aesthetic degradation; Soil contamination; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Global warming; Air pollution; Other environmental related diseases; Loss of traditional knowledge/practices/cultures | Land dispossession | Displacement | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Farmers resport a downward trend in their rice harvestts since the operation of the 1st Sual Power Plant. The second coal power plant would be located along the coast of Lingayen Gulf, an environmentally critical area important to fishing [7] communities and tourism. Therefore, the traditional practices and economies would be harmed.",Water / pollution,Local residents,SK Engineering & Construction Co. Ltd.; Korean Electric Power Corp. (KEPCO) Philippines; Local Governments of Sual and Pangasinan. Philippine Government South Korean Government |,Cancelled / suspended,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/2nd-coal-plant-in-sual,No additional coding note.
"Skulte LNG Terminal and Pipeline, Latvia",Latvia,Not specified clearly in live EJAtlas metadata.,"Saulkrasti municipality, Limbaži municipality, Sēja Municipality, Krimulda Municipality",Pipeline,Import / regasification,Direct EU supply / importing infrastructure,"Biodiversity loss (wildlife, agro-diversity); Fires; Loss of landscape/aesthetic degradation; Noise pollution; Soil contamination; Deforestation and loss of vegetation cover; Air pollution; Global warming; Other environmental related diseases; Exposure to unknown or uncertain complex risks (radiation, etc…); Accidents; Displacement | Other socio-economic impacts | Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors | Reduced property value in the area, risk of losing businesses within the tourism industry",Health / air pollution,Local residents,Skulte LNG Terminal; Vides konsultāciju birojs; Ministry of Environmental Protection and Regional Development of the Republic of Latvia; Environment State Bureau; Saulkrasti Municipality; Limbaži Municipality; Sēja Municipality; Krimulda Municipality; Virši-A; Sabiedrisko pakalpojumu regulēšanas komisija or SPRK Augstsprieguma tīkls AS Energopārvaldības centrs Ministru kabinets |,Planned,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/skulte-lng-terminal-and-pipeline-latvia,No additional coding note.
"Komo Airfield, Papua New Guinea",Papua New Guinea,Hela Province,Komo-Magarima District,Pipeline,Transit,Broader LNG / environmental justice context,"Food insecurity (crop damage); Oil spills; Soil contamination; Groundwater pollution or depletion; Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Deforestation and loss of vegetation cover; Large-scale disturbance of hydro and geological systems; Soil erosion; Reduced ecological / hydrological connectivity; Floods (river, coastal, mudflow); Surface water pollution / Decreasing water (physico-chemical, biological) quality; Malnutrition; Accidents; Mental problems including stress, depression and suicide; Violence related health impacts (homicides, rape, etc..) ; Occupational disease and accidents; Displacement | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Militarization and increased police presence | Violations of human rights | Land dispossession | Loss of landscape/sense of place | Increase in violence and crime | Specific impacts on women | Other socio-economic impacts | Increase in Corruption/Co-optation of different actors | Social problems (alcoholism, prostitution, etc..) | Inter-clan conflict",Water / pollution,Indigenous communities; Workers; Local residents; Farmers; Women,ExxonMobil Corporation; Aurecon ; WT PARTNERSHIP ; Coffey Natural Systems ; Volga-Dnepr Airlines; McConnell Dowell ; D'Appolonia; Consolidated Contractors Company ; National Airports Corporation ; Clough Curtain Joint Venture ; Government of Papua New Guinea Hela Province National Disaster Centre (NDC) |,Operating,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/komo-airport,No additional coding note.
"New Hampshire's Granite Bridge Gas Pipeline, United States",United States,New Hampshire,"Stratham to Manchester, NH (with 2 billion cubic-feet liquid nat gas storage tank in Epping)",Pipeline,Transit,Indirect EU supply chain / export-side context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Fires; Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Soil contamination; Waste overflow; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Other environmental related diseases; Other Health impacts; Land dispossession | Other socio-economic impacts",Coastal / marine,Local residents; Farmers; Women,Liberty Utilities; Energy North Natural Gas; NH Public Utilities Commission (NHPUC) US Department of Transportation Pipeline and Hazardous Materials Safety Administration (PHMSA) Rockingham Planning Commission |,Planned,medium,core-provisional,Keep in core article with scope note,East Coast,Broader gas case with LNG linkage,https://ejatlas.org/conflict/new-hampshires-granite-bridge-gas-pipeline-united-states,No additional coding note.
"Unistoten Camp, BC, Canada",Canada,British Columbia,Houston,Pipeline,Transit,Broader LNG / environmental justice context,"Food insecurity (crop damage); Loss of landscape/aesthetic degradation; Soil erosion; Oil spills; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Mine tailing spills; Air pollution; Biodiversity loss (wildlife, agro-diversity); Soil contamination; Deforestation and loss of vegetation cover; Large-scale disturbance of hydro and geological systems; Reduced ecological / hydrological connectivity; Global warming; Other environmental related diseases; Mental problems including stress, depression and suicide; Violence related health impacts (homicides, rape, etc..) ; Specific impacts on women | Violations of human rights | Land dispossession | Loss of livelihood | Increase in Corruption/Co-optation of different actors | Loss of traditional knowledge/practices/cultures | Militarization and increased police presence | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Workers; Local residents; Women,Apache Corp.; EnCana Corp; EOG Resources; Chevron Polska Energy Resources Sp. z o.o.; Royal Dutch Shell; Shell Canada Limited; Mitsubishi Corp.; Korean Gas Corporation; LNG Canada consortium ; Coastal Gas Link; TransCanada; BC Provincial Government BC Courts Wet'suwet'en Hereditary Chiefs RCMP |,Operating,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/unistoten-camp-v-the-ptp-pipeline-bc-canada,No additional coding note.
"Poland's last coal-fired power plant, Ostrołęka, Mazovia",Poland,Mazovian Voivodeship,Rzekuń Commune,Pipeline,Transit,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Noise pollution; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Occupational disease and accidents; Deaths; Other environmental related diseases; Accidents; Lack of work security, labour absenteeism, firings, unemployment | Other socio-economic impacts | Loss of GDP due to increased morbidity and premature death of inhabitants (P)",Water / pollution,Local residents,Enea SA; PKN Orlen; GE Power; Polimex Mostostal Capital Group; Mostostal Warszawa; Energa SA; Torpol SA; Zakłady Automatyki KOMBUD SA; PHB Weserhütte; PolskaGrupaGórnicza; PolskieSieciElektroenergetyczne SA; mBank SA; ING Bank Śląski; Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna - PKO Bank Polski S.A.; Bank Polska Kasa Opieki Spółka Akcyjna (shortly Bank Pekao S.A); - Ministry of Energy (Poland) - liquidated in 2019 - Ministry of State Assets (Poland) |,Under construction,strong,contextual,Broader context only,,Broader gas / EJ case,https://ejatlas.org/conflict/polands-last-coal-fired-power-plant-ostroleka-mazovia,No additional coding note.
"Akita coal-fired power project, Japan",Japan,Akita prefecture,Akita City,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Soil contamination; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Displacement | Specific impacts on women | Violations of human rights",Health / air pollution,Local residents,Kansai Electric Power Co; Marubeni ,Cancelled / suspended,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/akita-coal-fired-power-project,No additional coding note.
"Dangjin Coal-Fired Power Complex, South Korea",Republic of Korea,Chungcheong Province,"Located at Gyoro-ri, Seokmun-myeon, Dangjin-si",Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Food insecurity (crop damage); Surface water pollution / Decreasing water (physico-chemical, biological) quality; Air pollution; Global warming; Deaths; Other environmental related diseases; Displacement | Loss of livelihood",Health / air pollution,Local residents; Farmers,Korea  East- West Power Company; Korea Electric Power  Corporation (KEPCO); The South Korean government (directly and indirectly) owns a 51.11% shares of KEPCO. |,Operating,weak,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/dangjin-coal-fired-power-complex,No additional coding note.
"Protests against floating LNG terminal, Krk island, Croatia",Croatia,Primorsko-Goranska ,Krk,FLNG,Broader gas / LNG context,Direct EU supply / importing infrastructure,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Waste overflow; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Fires; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors",Water / pollution,Local residents,Hrvatska elektroprivreda d.d. ; Cheniere Energy; Plinacro ; European Comission; LNG Hrvatska (LNG Croatia); European Commission (Networks Executive Agency (INEA)); Croatian State |,Under construction,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/protests-against-floating-lng-terminal-krk-island-croatia,No additional coding note.
"Gazprom's Obskaya – Bovanenkovo railroad in  Yamal peninsula, Arctic Russia",Russia,Yamal Penninsula,Bovanenkovo,Port / logistics hub,Export / extraction,Broader LNG / environmental justice context,"Floods (river, coastal, mudflow); Noise pollution; Air pollution; Genetic contamination; Global warming; Loss of landscape/aesthetic degradation; Biodiversity loss (wildlife, agro-diversity); Other socio-economic impacts | Loss of livelihood | Land dispossession | Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place | Sacredness values are threatened",Water / pollution,Indigenous communities; Workers; Local residents; Farmers,Gazprom,Operating,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/obskaya-bovanenkovo-railroad-arctic-russia,No additional coding note.
"Soga coal power plant, Chiba, Japan",Japan,Chiba,Chiba,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,Air pollution; Global warming; Other Environmental impacts; Other environmental related diseases; Other Health impacts; Loss of landscape/sense of place,Health / air pollution,Local residents,Kawasaki Steel; Chugoku Electric Power; JFE Steel; Tokyo Electrical Power Company; Tokyo Gas; Environment Ministry Industry Ministry |,Cancelled / suspended,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/soga-coal-poer-chiba-japan,No additional coding note.
"Quezon coal fired power plant in Atimonan, Philippines",Philippines,Quezon,"Barangay Villa Ibaba, Atimonan Municipality, Quezon Province,",Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,Air pollution; Global warming; Other Health impacts; Land dispossession | Loss of landscape/sense of place,Health / air pollution,Workers; Local residents,Meralco PowerGen; Quezon provincial legislative council Energy Regulatory Commission (ERC) |,Planned,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/quezon-coal-fired-power-plant-philippines,No additional coding note.
"Chevron's Gorgon gas extraction meet with labour unions' opposition, Australia",Australia,Western Australia,Barrow Island,Extraction / gas field,Broader gas / LNG context,Broader LNG / environmental justice context,"Occupational disease and accidents; Increase in Corruption/Co-optation of different actors | Lack of work security, labour absenteeism, firings, unemployment | Other socio-economic impacts | Unfair treatment of migrant labour",Health / air pollution,Indigenous communities; Workers; Local residents,Chevron Polska Energy Resources Sp. z o.o.,Under construction,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/chevron-operations-meet-with-protests-australia,No additional coding note.
"Opposition to oil&gas exploitation, New Zealand",New Zealand,Not specified clearly in live EJAtlas metadata.,Pegasus Basin,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Soil contamination; Oil spills; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Large-scale disturbance of hydro and geological systems; Loss of landscape/aesthetic degradation; Global warming; Accidents; Occupational disease and accidents; Lack of work security, labour absenteeism, firings, unemployment | Social problems (alcoholism, prostitution, etc..) | Increase in Corruption/Co-optation of different actors",Water / pollution,Workers; Local residents,Statoil; Chevron Polska Energy Resources Sp. z o.o.; Royal Dutch Shell,Planned,weak,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/greenpeace-in-new-zealand,No additional coding note.
"Enel coal power plant in La Spezia, Italy",Italy,Liguria Region,Municipality of La Spezia,LNG terminal,Import / regasification,Broader LNG / environmental justice context,"Food insecurity (crop damage); Global warming; Air pollution; Biodiversity loss (wildlife, agro-diversity); Loss of landscape/aesthetic degradation; Noise pollution; Soil contamination; Waste overflow; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Mental problems including stress, depression and suicide; Occupational disease and accidents; Deaths; Other environmental related diseases; Other Health impacts; Loss of livelihood | Specific impacts on women | Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place",Health / air pollution,Fishing and coastal communities; Local residents; Women,"Enel ; Municipality and Province of Spezia, Municipality of Arcola, Region Liguria, Ministero dell’ambiente, ISPRA (Institute for Environmental Protection and Research ), ARPAL (Regional Agency for the environmental protection, Liguria), ASL5 (Helath local agency), ISS (National Institute of Health), Medical order of La Spezia |",Operating,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/enel-coal-power-plant-in-la-spezia,No additional coding note.
"Sakhalin-1 and -2 oil and gas development projects, Russia",Russia,Sakhalin Oblast,"Sakhalin island, offshore and onshore",Pipeline,Transit,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Loss of livelihood | Loss of traditional knowledge/practices/cultures",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,Royal Dutch Shell; ExxonMobil Corporation; Exxon Neftegas Limited; The European Bank for Reconstruction and Development ,Operating,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/sakhalin-1-and-2-oil-and-gas-development-projects,No additional coding note.
"Hassi R'Mel gas field, Algeria",Algeria,Laghouat Province,Hassi R'Mel,Extraction / gas field,Export / extraction,Direct EU supply / export-side context,"Groundwater pollution or depletion; Occupational disease and accidents; Lack of work security, labour absenteeism, firings, unemployment",Coastal / marine,Workers; Local residents,Sonatrach; Sonatrach |,Operating,strong,core,Keep in core article,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/hassi-rmel-gas-field,No additional coding note.
"Exxon Mobil human rights abuses at oil fields and LNG project in Aceh, Indonesia",Indonesia,Aceh (official name: Nanggroe Aceh Darussalam),Arun,Extraction / gas field,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Loss of landscape/aesthetic degradation; Noise pollution; Soil contamination; Deforestation and loss of vegetation cover; Health problems related to alcoholism, prostitution; Violence related health impacts (homicides, rape, etc..) ; Deaths; Loss of livelihood | Militarization and increased police presence | Violations of human rights | Loss of landscape/sense of place | Increase in violence and crime | Land dispossession | Specific impacts on women",Coastal / marine,Local residents,"ExxonMobil Corporation; PT Arun; Ministry of Environment, Indonesia |",Operating,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/exxon-mobil-human-rights-abuses-in-aceh,No additional coding note.
"Bolivian “Gas war” and Pacific LNG, Bolivia",Bolivia,"Cochabamba, La Paz, Oruro","Cochabamba, La Paz, El Alto, Oruro",Liquefaction / export facility,Broader gas / LNG context,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Fires; Global warming; Loss of landscape/aesthetic degradation; Soil contamination; Soil erosion; Oil spills; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Accidents; Mental problems including stress, depression and suicide; Malnutrition; Violence related health impacts (homicides, rape, etc..) ; Deaths; Other Health impacts; Displacement | Land dispossession | Increase in Corruption/Co-optation of different actors | Increase in violence and crime | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Militarization and increased police presence | Violations of human rights",Indigenous rights / land,Indigenous communities; Workers; Local residents; Farmers,"Repsol; British Gas; Pan-American Energy; Union Texas; British Petroleum; Yacimientos Petrolíferos Fiscales Bolivianos; YPFB Yacimientos Petroleros Fiscales Bolivianos, Movimiento al Socialismo MAS | [object Object],[object Object],[object Object]",Cancelled / suspended,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/privatisation-of-natural-gas-pacific-lng-bolivia,No additional coding note.
"Castor Project Gas off-shore storage in Vinaròs, Spain",Spain,Castellón,Vinaròs,Pipeline,Transit,Broader LNG / environmental justice context,"Large-scale disturbance of hydro and geological systems; Exposure to unknown or uncertain complex risks (radiation, etc…); Increase in Corruption/Co-optation of different actors | Displacement | Loss of livelihood",Coastal / marine,Local residents,"Castor Limited Partnership; Dundee Energy Limited; Grupo ACS; Ministry of Industry, Vinarós Town council, Amposta Town Council, Benicàssim Town Council, European Comission | [object Object],[object Object],[object Object],[object Object],[object Object]",Cancelled / suspended,medium,contextual,Broader context only,,Broader gas / EJ case,https://ejatlas.org/conflict/castor-project-gas-off-shore-storage-in-vinaros-spain,No additional coding note.
